week,gameId,opponent,perspective,metric,actual,expectedLOO,poe,supported
13,401752778,Missouri,offense,successRate,0.3103448275862069,0.3642983362149536,-0.053953508628746705,True
13,401752778,Missouri,defense,successRate,0.3283582089552239,0.3354447844169271,0.007086575461703215,True
13,401752778,Missouri,offense,rushSuccessRate,0.3103448275862069,0.3723617074862872,-0.06201687990008031,True
13,401752778,Missouri,defense,rushSuccessRate,0.2903225806451613,0.35140822374297026,0.06108564309780895,True
13,401752778,Missouri,offense,passSuccessRate,0.3103448275862069,0.3845338799989801,-0.07418905241277318,True
13,401752778,Missouri,defense,passSuccessRate,0.3611111111111111,0.33877456845432496,-0.02233654265678614,True
13,401752778,Missouri,offense,explosivePlayRate,0.06896551724137931,0.09999205556624546,-0.031026538324866154,True
13,401752778,Missouri,defense,explosivePlayRate,0.07462686567164178,0.0968283522155462,0.022201486543904414,True
13,401752778,Missouri,offense,yardsPerPlay,4.451612903225806,4.7317649937717645,-0.28015209054595847,True
13,401752778,Missouri,defense,yardsPerPlay,4.7101449275362315,4.471024894214405,-0.23912003332182685,True
14,401752789,LSU,offense,successRate,0.31746031746031744,0.4008677947877668,-0.08340747732744935,True
14,401752789,LSU,defense,successRate,0.25,0.3009385592498564,0.05093855924985641,True
14,401752789,LSU,offense,rushSuccessRate,0.14814814814814814,0.4158908041337461,-0.26774265598559793,True
14,401752789,LSU,defense,rushSuccessRate,0.2222222222222222,0.29522492068839384,0.07300269846617163,True
14,401752789,LSU,offense,passSuccessRate,0.4444444444444444,0.40237697194661604,0.042067472497828384,True
14,401752789,LSU,defense,passSuccessRate,0.28,0.34171439882821386,0.061714398828213834,True
14,401752789,LSU,offense,explosivePlayRate,0.1111111111111111,0.1087452004481419,0.002365910662969206,True
14,401752789,LSU,defense,explosivePlayRate,0.038461538461538464,0.07371339651482856,0.03525185805329009,True
14,401752789,LSU,offense,yardsPerPlay,6.246153846153846,4.610411401712943,1.6357424444409032,True
14,401752789,LSU,defense,yardsPerPlay,3.9814814814814814,3.921100932408514,-0.060380549072967415,True
1,401779840,Alabama,offense,successRate,0.323943661971831,0.394821906821748,-0.070878244849917,True
1,401779840,Alabama,defense,successRate,0.24528301886792453,0.34220751173856023,0.0969244928706357,True
1,401779840,Alabama,offense,rushSuccessRate,0.34615384615384615,0.39010602204958167,-0.043952175895735524,True
1,401779840,Alabama,defense,rushSuccessRate,0.23809523809523808,0.3071831192589728,0.06908788116373471,True
1,401779840,Alabama,offense,passSuccessRate,0.3111111111111111,0.4153436225475919,-0.10423251143648077,True
1,401779840,Alabama,defense,passSuccessRate,0.25,0.3900230594887748,0.1400230594887748,True
1,401779840,Alabama,offense,explosivePlayRate,0.07042253521126761,0.1074888373614191,-0.0370663021501515,True
1,401779840,Alabama,defense,explosivePlayRate,0.1320754716981132,0.08145127874636252,-0.05062419295175069,True
1,401779840,Alabama,offense,yardsPerPlay,4.891891891891892,4.99235906919333,-0.10046717730143762,True
1,401779840,Alabama,defense,yardsPerPlay,4.777777777777778,4.667669855638805,-0.11010792213897247,True
